,0,1,2
0,18,69,"[(45.309183, 5.891183)]"
1,80,131,"[(45.306683, 5.888817)]"
2,140,196,"[(45.303767, 5.887067)]"
3,293,344,"[(45.2973, 5.881067)]"
4,370,421,"[(45.2945, 5.877167)]"
5,437,489,"[(45.2933, 5.87495)]"
6,557,608,"[(45.293317, 5.874817)]"
7,657,709,"[(45.288517, 5.8677)]"
8,713,764,"[(45.287217, 5.86465)]"
9,785,836,"[(45.284417, 5.859767)]"
10,851,933,"[(45.284833, 5.8596)]"
11,940,991,"[(45.285567, 5.858833)]"
12,1105,1156,"[(45.281133, 5.846967)]"
13,1165,1216,"[(45.281383, 5.8464)]"
14,1228,1279,"[(45.2813, 5.844767)]"
15,1309,1360,"[(45.279717, 5.837817)]"
16,1419,1470,"[(45.279217, 5.8378)]"
17,1531,1582,"[(45.280683, 5.846217)]"
18,1654,1705,"[(45.279617, 5.84025)]"
19,1707,1758,"[(45.28, 5.840283)]"
20,1809,1860,"[(45.280883, 5.838367)]"
21,1864,1915,"[(45.281317, 5.838483)]"
22,1929,1980,"[(45.281433, 5.837617)]"
23,2171,2222,"[(45.269517, 5.8169)]"
24,2271,2322,"[(45.267617, 5.812383)]"
25,2342,2393,"[(45.267617, 5.813867)]"
26,2404,2455,"[(45.26825, 5.813867)]"
27,2617,2668,"[(45.269417, 5.816983)]"
28,2807,2858,"[(45.268617, 5.818833)]"
29,2898,2949,"[(45.266917, 5.814867)]"
30,2970,3128,"[(45.267783, 5.815317)]"
31,3130,3181,"[(45.268617, 5.814033)]"
32,3288,3339,"[(45.26465, 5.80465)]"
33,3346,3397,"[(45.261117, 5.801167)]"
34,3400,3451,"[(45.2592, 5.7994)]"
35,3492,3543,"[(45.253967, 5.7923)]"
36,3563,3614,"[(45.249533, 5.7883)]"
37,3645,3696,"[(45.2452, 5.782733)]"
38,4074,4125,"[(45.240317, 5.776433)]"
39,4270,4321,"[(45.25115, 5.7906)]"
40,4322,4373,"[(45.254667, 5.794017)]"
41,4435,4486,"[(45.261633, 5.801967)]"
42,4495,4546,"[(45.26505, 5.806567)]"
43,4555,4606,"[(45.26825, 5.811233)]"
44,4812,4911,"[(45.278567, 5.836333)]"
45,4916,4967,"[(45.2784, 5.836483)]"
46,4988,5039,"[(45.280083, 5.83685)]"
47,5247,5337,"[(45.289083, 5.835867)]"
48,5347,5398,"[(45.2891, 5.83555)]"
49,5458,5509,"[(45.292233, 5.836283)]"
50,5794,5845,"[(45.291283, 5.83575)]"
51,5924,5975,"[(45.2901, 5.835633)]"
52,6124,6175,"[(45.28065, 5.8383)]"
